"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","TERMTRADE","TOT","RT","A","1980",86.5394640853958,"E"
"ITA","TERMTRADE","TOT","RT","A","1981",83.202130112363,"E"
"ITA","TERMTRADE","TOT","RT","A","1982",86.6433068270528,"E"
"ITA","TERMTRADE","TOT","RT","A","1983",87.8290311415711,"E"
"ITA","TERMTRADE","TOT","RT","A","1984",88.0619689297436,"E"
"ITA","TERMTRADE","TOT","RT","A","1985",88.7270190562959,"E"
"ITA","TERMTRADE","TOT","RT","A","1986",100.368111860755,"E"
"ITA","TERMTRADE","TOT","RT","A","1987",103.142171232699,"E"
"ITA","TERMTRADE","TOT","RT","A","1988",101.817735865798,"E"
"ITA","TERMTRADE","TOT","RT","A","1989",101.472105228759,"E"
"ITA","TERMTRADE","TOT","RT","A","1990",106.167650052789,"E"
"ITA","TERMTRADE","TOT","RT","A","1991",110.389106689646,"E"
"ITA","TERMTRADE","TOT","RT","A","1992",109.238766880737,"E"
"ITA","TERMTRADE","TOT","RT","A","1993",104.338322237208,"E"
"ITA","TERMTRADE","TOT","RT","A","1994",102.996911177327,"E"
"ITA","TERMTRADE","TOT","RT","A","1995",99.9988801164359,
"ITA","TERMTRADE","TOT","RT","A","1996",102.54645703099,
"ITA","TERMTRADE","TOT","RT","A","1997",103.00342163954,
"ITA","TERMTRADE","TOT","RT","A","1998",105.908131667123,
"ITA","TERMTRADE","TOT","RT","A","1999",105.793976627397,
"ITA","TERMTRADE","TOT","RT","A","2000",100.038434601185,
"ITA","TERMTRADE","TOT","RT","A","2001",101.592184557585,
"ITA","TERMTRADE","TOT","RT","A","2002",103.133862430042,
