YEAR,Value
1960,4.116666667
1961,3.8825
1962,3.945833333
1963,4.0025
1964,4.186666667
1965,4.2825
1966,4.923333333
1967,5.073333333
1968,5.645833333
1969,6.670833333
1970,7.348333333
1971,6.159166667
1972,6.21
1973,6.8425
1974,7.5575
1975,7.9875
1976,7.611666667
1977,7.419166667
1978,8.41
1979,9.4425
1980,11.46
1981,13.91083333
1982,13.00166667
1983,11.105
1984,12.43833333
1985,10.62333333
1986,7.6825
1987,8.384166667
1988,8.845833333
1989,8.498333333
1990,8.55
1991,7.858333333
1992,7.01
1993,5.873333333
1994,7.08
1995,6.58
1996,6.438333333
1997,6.3525
1998,5.264166667
1999,5.636666667
2000,6.029166667
2001,5.0175
2002,4.610833333
2003,4.015
2004,4.274166667
2005,4.29
2006,4.791666667
2007,4.629166667
2008,3.666666667
2009,3.256666667
2010,3.214166667
2011,2.785833333
2012,1.8025
2013,2.350833333
2014,2.540833333
2015,2.135833333
2016,1.841666667
2017,2.33
2018,2.91
2019,2.144166667
2020,0.894166667
