Numero Riga,Data di Riferimento,Quotazione,Convenzione di Cambio
1,1980-01-02,801.250,Quantita' di Lire per 1 unita' di valuta estera
2,1980-01-03,799.500,Quantita' di Lire per 1 unita' di valuta estera
3,1980-01-04,803.000,Quantita' di Lire per 1 unita' di valuta estera
4,1980-01-07,801.000,Quantita' di Lire per 1 unita' di valuta estera
5,1980-01-08,803.500,Quantita' di Lire per 1 unita' di valuta estera
6,1980-01-09,801.000,Quantita' di Lire per 1 unita' di valuta estera
7,1980-01-10,801.750,Quantita' di Lire per 1 unita' di valuta estera
8,1980-01-11,803.750,Quantita' di Lire per 1 unita' di valuta estera
9,1980-01-14,803.250,Quantita' di Lire per 1 unita' di valuta estera
10,1980-01-15,803.250,Quantita' di Lire per 1 unita' di valuta estera
11,1980-01-16,806.750,Quantita' di Lire per 1 unita' di valuta estera
12,1980-01-17,804.750,Quantita' di Lire per 1 unita' di valuta estera
13,1980-01-18,804.750,Quantita' di Lire per 1 unita' di valuta estera
14,1980-01-21,805.250,Quantita' di Lire per 1 unita' di valuta estera
15,1980-01-22,807.250,Quantita' di Lire per 1 unita' di valuta estera
16,1980-01-23,807.000,Quantita' di Lire per 1 unita' di valuta estera
17,1980-01-24,806.250,Quantita' di Lire per 1 unita' di valuta estera
18,1980-01-25,806.500,Quantita' di Lire per 1 unita' di valuta estera
19,1980-01-28,807.500,Quantita' di Lire per 1 unita' di valuta estera
20,1980-01-29,807.500,Quantita' di Lire per 1 unita' di valuta estera
21,1980-01-30,806.600,Quantita' di Lire per 1 unita' di valuta estera
22,1980-01-31,807.750,Quantita' di Lire per 1 unita' di valuta estera
23,1980-02-01,809.250,Quantita' di Lire per 1 unita' di valuta estera
24,1980-02-04,809.250,Quantita' di Lire per 1 unita' di valuta estera
25,1980-02-05,808.250,Quantita' di Lire per 1 unita' di valuta estera
26,1980-02-06,807.500,Quantita' di Lire per 1 unita' di valuta estera
27,1980-02-07,806.000,Quantita' di Lire per 1 unita' di valuta estera
28,1980-02-08,807.000,Quantita' di Lire per 1 unita' di valuta estera
29,1980-02-11,806.250,Quantita' di Lire per 1 unita' di valuta estera
30,1980-02-12,806.750,Quantita' di Lire per 1 unita' di valuta estera
31,1980-02-13,805.250,Quantita' di Lire per 1 unita' di valuta estera
32,1980-02-14,803.800,Quantita' di Lire per 1 unita' di valuta estera
33,1980-02-15,805.500,Quantita' di Lire per 1 unita' di valuta estera
34,1980-02-18,806.250,Quantita' di Lire per 1 unita' di valuta estera
35,1980-02-19,808.500,Quantita' di Lire per 1 unita' di valuta estera
36,1980-02-20,808.750,Quantita' di Lire per 1 unita' di valuta estera
37,1980-02-21,809.000,Quantita' di Lire per 1 unita' di valuta estera
38,1980-02-22,812.300,Quantita' di Lire per 1 unita' di valuta estera
39,1980-02-25,815.000,Quantita' di Lire per 1 unita' di valuta estera
40,1980-02-26,815.250,Quantita' di Lire per 1 unita' di valuta estera
41,1980-02-27,816.500,Quantita' di Lire per 1 unita' di valuta estera
42,1980-02-28,814.750,Quantita' di Lire per 1 unita' di valuta estera
43,1980-02-29,820.750,Quantita' di Lire per 1 unita' di valuta estera
44,1980-03-03,825.250,Quantita' di Lire per 1 unita' di valuta estera
45,1980-03-04,827.000,Quantita' di Lire per 1 unita' di valuta estera
46,1980-03-05,830.350,Quantita' di Lire per 1 unita' di valuta estera
47,1980-03-06,832.750,Quantita' di Lire per 1 unita' di valuta estera
48,1980-03-07,835.000,Quantita' di Lire per 1 unita' di valuta estera
49,1980-03-10,838.500,Quantita' di Lire per 1 unita' di valuta estera
50,1980-03-11,841.000,Quantita' di Lire per 1 unita' di valuta estera
51,1980-03-12,839.750,Quantita' di Lire per 1 unita' di valuta estera
52,1980-03-13,844.250,Quantita' di Lire per 1 unita' di valuta estera
53,1980-03-14,855.150,Quantita' di Lire per 1 unita' di valuta estera
54,1980-03-17,870.250,Quantita' di Lire per 1 unita' di valuta estera
55,1980-03-18,874.000,Quantita' di Lire per 1 unita' di valuta estera
56,1980-03-19,872.250,Quantita' di Lire per 1 unita' di valuta estera
57,1980-03-20,869.400,Quantita' di Lire per 1 unita' di valuta estera
58,1980-03-21,873.750,Quantita' di Lire per 1 unita' di valuta estera
59,1980-03-24,879.750,Quantita' di Lire per 1 unita' di valuta estera
60,1980-03-25,881.250,Quantita' di Lire per 1 unita' di valuta estera
61,1980-03-26,878.500,Quantita' di Lire per 1 unita' di valuta estera
62,1980-03-27,888.250,Quantita' di Lire per 1 unita' di valuta estera
63,1980-03-28,893.000,Quantita' di Lire per 1 unita' di valuta estera
64,1980-03-31,898.250,Quantita' di Lire per 1 unita' di valuta estera
65,1980-04-01,912.000,Quantita' di Lire per 1 unita' di valuta estera
66,1980-04-02,908.000,Quantita' di Lire per 1 unita' di valuta estera
67,1980-04-03,904.000,Quantita' di Lire per 1 unita' di valuta estera
68,1980-04-04,908.000,Quantita' di Lire per 1 unita' di valuta estera
69,1980-04-08,910.000,Quantita' di Lire per 1 unita' di valuta estera
70,1980-04-09,882.000,Quantita' di Lire per 1 unita' di valuta estera
71,1980-04-10,872.000,Quantita' di Lire per 1 unita' di valuta estera
72,1980-04-11,875.250,Quantita' di Lire per 1 unita' di valuta estera
73,1980-04-14,873.000,Quantita' di Lire per 1 unita' di valuta estera
74,1980-04-15,881.500,Quantita' di Lire per 1 unita' di valuta estera
75,1980-04-16,882.000,Quantita' di Lire per 1 unita' di valuta estera
76,1980-04-17,871.500,Quantita' di Lire per 1 unita' di valuta estera
77,1980-04-18,869.000,Quantita' di Lire per 1 unita' di valuta estera
78,1980-04-21,868.500,Quantita' di Lire per 1 unita' di valuta estera
79,1980-04-22,870.750,Quantita' di Lire per 1 unita' di valuta estera
80,1980-04-23,864.250,Quantita' di Lire per 1 unita' di valuta estera
