Macrotrends Data Download

Italy Education Spending 1993-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Education Spending (% of GDP), Annual Change, 
1993-12-31,8.7193
1994-12-31,8.242,-0.48
1995-12-31,8.5977,0.36
1996-12-31,9.1188,0.52
1998-12-31,9.2426,0.12
1999-12-31,9.5541,0.31
2000-12-31,9.2211,-0.33
2001-12-31,9.8229,0.6
2002-12-31,9.4913,-0.33
2003-12-31,9.6277,0.14
2004-12-31,9.3542,-0.27
2005-12-31,8.9715,-0.38
2006-12-31,9.4687,0.5
2007-12-31,8.7745,-0.69
2008-12-31,9.1734,0.4
2009-12-31,8.8508,-0.32
2010-12-31,8.6808,-0.17
2011-12-31,8.3696,-0.31
2012-12-31,8.0174,-0.35
2013-12-31,8.1326,0.12
2014-12-31,7.9859,-0.15
2015-12-31,8.0959,0.11
2016-12-31,7.7749,-0.32
2017-12-31,8.2952,0.52
2018-12-31,8.7957,0.5
2019-12-31,8.4486,-0.35
2020-12-31,7.47,-0.98
