Macrotrends Data Download

Italy Inflation Rate 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,2.3502
1961-12-31,2.0507,-0.3
1962-12-31,4.6911,2.64
1963-12-31,7.4547,2.76
1964-12-31,5.9123,-1.54
1965-12-31,4.5193,-1.39
1966-12-31,2.3466,-2.17
1967-12-31,3.7333,1.39
1968-12-31,1.2773,-2.46
1969-12-31,2.6573,1.38
1970-12-31,4.9683,2.31
1971-12-31,4.7917,-0.18
1972-12-31,5.7495,0.96
1973-12-31,10.7986,5.05
1974-12-31,19.1598,8.36
1975-12-31,16.9505,-2.21
1976-12-31,16.6142,-0.34
1977-12-31,17.13,0.52
1978-12-31,12.094,-5.04
1979-12-31,14.7986,2.7
1980-12-31,21.0642,6.27
1981-12-31,17.9693,-3.09
1982-12-31,16.4804,-1.49
1983-12-31,14.6466,-1.83
1984-12-31,10.7945,-3.85
1985-12-31,9.206,-1.59
1986-12-31,5.8235,-3.38
1987-12-31,4.7473,-1.08
1988-12-31,5.0582,0.31
1989-12-31,6.2598,1.2
1990-12-31,6.4566,0.2
1991-12-31,6.25,-0.21
1992-12-31,5.2706,-0.98
1993-12-31,4.6267,-0.64
1994-12-31,4.0518,-0.57
1995-12-31,5.2354,1.18
1996-12-31,4.007,-1.23
1997-12-31,2.0431,-1.96
1998-12-31,1.9551,-0.09
1999-12-31,1.6635,-0.29
2000-12-31,2.5377,0.87
2001-12-31,2.7852,0.25
2002-12-31,2.4653,-0.32
2003-12-31,2.6726,0.21
2004-12-31,2.2067,-0.47
2005-12-31,1.9853,-0.22
2006-12-31,2.0908,0.11
2007-12-31,1.8297,-0.26
2008-12-31,3.3478,1.52
2009-12-31,0.7748,-2.57
2010-12-31,1.5255,0.75
2011-12-31,2.7806,1.26
2012-12-31,3.0414,0.26
2013-12-31,1.22,-1.82
2014-12-31,0.241,-0.98
2015-12-31,0.0388,-0.2
2016-12-31,-0.094,-0.13
2017-12-31,1.2265,1.32
2018-12-31,1.1375,-0.09
2019-12-31,0.6112,-0.53
2020-12-31,-0.1377,-0.75
2021-12-31,1.8738,2.01
