Macrotrends Data Download

Italy Unemployment Rate 1991-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,10.1
1992-12-31,9.33,-0.77
1993-12-31,10.24,0.91
1994-12-31,11.09,0.85
1995-12-31,11.67,0.58
1996-12-31,11.87,0.2
1997-12-31,12,0.13
1998-12-31,12.12,0.12
1999-12-31,11.69,-0.43
2000-12-31,10.84,-0.85
2001-12-31,9.6,-1.24
2002-12-31,9.21,-0.39
2003-12-31,8.87,-0.34
2004-12-31,7.87,-1
2005-12-31,7.73,-0.14
2006-12-31,6.78,-0.95
2007-12-31,6.08,-0.7
2008-12-31,6.72,0.64
2009-12-31,7.75,1.03
2010-12-31,8.36,0.61
2011-12-31,8.36,0
2012-12-31,10.65,2.29
2013-12-31,12.15,1.5
2014-12-31,12.68,0.53
2015-12-31,11.9,-0.78
2016-12-31,11.69,-0.21
2017-12-31,11.21,-0.48
2018-12-31,10.61,-0.6
2019-12-31,9.95,-0.66
2020-12-31,9.16,-0.79
2021-12-31,9.834,0.67
